pressure,humidity,cloudcover,wind_gust,temperature_humidity_index,month,wind_direction,quarter,temperature_range,wind_speed,hour,is_day
0.6156,0.54957,0.71014,1.71254,-1.11901,0.1477,1.11578,0.0581,-0.18565,0.10256,-1.55183,-1.05578
0.3243,1.00394,0.71014,1.82471,-1.34231,0.1477,0.88396,0.0581,-0.18565,0.08068,-1.55183,-1.05578
-0.2583,1.00394,-1.4235,-1.11353,-0.25007,0.1477,-2.30352,0.0581,-0.18565,-1.21547,-1.55183,-1.05578
0.3243,0.92821,0.71014,1.81377,-1.37599,0.1477,0.67532,0.0581,-0.18565,-0.11073,-1.55183,-1.05578
1.1982,1.38257,-0.14332,-0.8509,-2.1324,0.1477,-1.23716,0.0581,-0.18565,-0.90921,-1.55183,-1.05578
-0.2583,1.07966,0.71014,-0.45694,-0.97993,0.1477,1.03464,0.0581,-0.18565,-0.79436,-1.55183,-1.05578
0.3243,1.30685,0.71014,-0.12865,-1.18266,0.1477,1.64895,0.0581,-0.18565,-0.30215,-1.55183,-1.05578
0.6156,0.0952,-2.22361,-1.11353,-0.88269,0.1477,0.94191,0.0581,2.98341,-0.08886,-1.55183,-1.05578
0.6156,0.85248,0.67458,-0.21072,-0.79121,0.1477,1.44032,0.0581,-0.18565,-0.00682,-1.55183,-1.05578
0.6156,1.00394,-1.4235,-1.11353,-0.74484,0.1477,1.52146,0.0581,-0.18565,0.19553,-1.55183,-1.05578
0.9069,1.07966,0.63902,-0.98769,-1.23811,0.1477,0.60578,0.0581,-0.18565,-1.13891,-1.55183,-1.05578
0.6156,0.47384,0.67458,-0.3776,-0.73325,0.1477,1.57941,0.0581,-0.18565,-0.21464,-1.55183,-1.05578
0.6156,0.77675,0.71014,0.61822,-0.54377,0.1477,0.66373,0.0581,2.93059,-0.60841,-1.55183,-1.05578
0.3243,0.77675,0.71014,1.68245,-1.38339,0.1477,0.67532,0.0581,-0.18565,0.1299,-1.55183,-1.05578
0.6156,1.4583,-0.17888,1.41981,-0.56841,0.1477,0.94191,0.0581,-0.18565,0.47445,-1.55183,-1.05578
-0.2583,0.77675,0.71014,-0.77156,-0.47495,0.1477,0.89555,0.0581,-0.18565,-0.98577,-1.55183,-1.05578
0.6156,0.47384,0.67458,-0.3776,-0.73325,0.1477,1.57941,0.0581,-0.18565,-0.21464,-1.55183,-1.05578
0.3243,1.15539,-0.39224,0.15861,-1.13301,0.1477,1.16214,0.0581,-0.18565,-0.23105,-1.55183,-1.05578
-0.5496,1.23112,0.14117,-0.65666,-1.01751,0.1477,0.2001,0.0581,-0.18565,-0.45528,-1.55183,-1.05578
0.6156,0.77675,0.71014,0.61822,-0.54377,0.1477,0.66373,0.0581,2.93059,-0.60841,-1.55183,-1.05578
0.9069,1.23112,0.71014,-0.61835,-1.62517,0.1477,1.846,0.0581,-0.18565,-0.6467,-1.55183,-1.05578
0.9069,1.38257,0.71014,0.91095,-3.43812,0.1477,0.22328,0.0581,-0.18565,-0.47169,-1.55183,-1.05578
0.3243,0.85248,0.71014,0.88633,-0.95272,0.1477,0.67532,0.0581,-0.18565,0.65493,-1.55183,-1.05578
0.6156,0.77675,0.49678,-0.42138,-0.82823,0.1477,1.11578,0.0581,-0.18565,-0.34043,-1.55183,-1.05578
0.6156,1.00394,-2.22361,-1.11353,-0.72617,0.1477,1.17373,0.0581,-0.18565,-0.08886,-1.55183,-1.05578
1.1982,1.38257,-0.14332,-0.8509,-2.094,0.1477,-1.23716,0.0581,-0.18565,-0.90921,-1.55183,-1.05578
0.6156,0.54957,0.71014,1.71254,-1.03335,0.1477,1.11578,0.0581,-0.18565,0.10256,-1.55183,-1.05578
-0.2583,0.92821,0.71014,1.00944,-0.90723,0.1477,0.68692,0.0581,-0.18565,-0.00135,-1.55183,-1.05578
0.3243,0.24666,0.5679,0.34191,-0.33166,0.1477,-1.85148,0.0581,-0.18565,0.5018,-1.55183,-1.05578
0.6156,0.47384,0.71014,-0.47062,-0.91253,0.1477,1.52146,0.0581,-0.18565,-0.38418,-1.55183,-1.05578
0.6156,1.4583,-0.17888,1.41981,-0.55876,0.1477,0.94191,0.0581,-0.18565,0.47445,-1.55183,-1.05578
0.9069,0.92821,0.07005,-0.94118,-1.0047,0.1477,0.31601,0.0581,-0.18565,-1.01859,-1.55183,-1.05578
0.6156,1.07966,0.71014,2.05999,-0.88135,0.1477,0.91873,0.0581,-0.18565,0.78071,-1.55183,-1.05578
0.3243,0.92821,0.71014,1.05322,-1.3203,0.1477,0.8376,0.0581,-0.18565,0.57836,-1.55183,-1.05578
0.3243,0.85248,0.67458,-0.18336,-0.79582,0.1477,1.31282,0.0581,-0.18565,-0.13808,-1.55183,-1.05578
0.3243,1.00394,-1.4235,-1.11353,-0.74484,0.1477,1.52146,0.0581,-0.18565,0.19553,-1.55183,-1.05578
0.6156,1.30685,0.67458,-0.74967,-1.71256,0.1477,-2.21079,0.0581,-0.18565,-0.72873,-1.55183,-1.05578
0.3243,1.07966,0.71014,1.75084,-0.98931,0.1477,0.88396,0.0581,-0.18565,0.00958,-1.55183,-1.05578
0.3243,1.30685,0.31897,-0.04657,-1.26381,0.1477,1.70691,0.0581,-0.18565,-0.35137,-1.55183,-1.05578
0.3243,0.77675,0.71014,0.83162,-0.54377,0.1477,0.73328,0.0581,2.93059,-0.52638,-1.55183,-1.05578
0.3243,1.23112,-0.71229,-0.11223,-1.2074,0.1477,-2.21079,0.0581,-0.18565,-0.2584,-1.55183,-1.05578
0.6156,0.92821,0.71014,-0.45421,-0.94436,0.1477,1.19691,0.0581,-0.18565,-0.51544,-1.55183,-1.05578
0.9069,1.30685,0.63902,-0.82901,-1.86532,0.1477,-2.21079,0.0581,-0.18565,-0.88186,-1.55183,-1.05578
0.3243,1.38257,0.49678,-0.06846,-1.27792,0.1477,1.60259,0.0581,-0.18565,-0.31309,-1.55183,-1.05578
0.3243,0.77675,0.71014,0.83162,-0.54377,0.1477,0.73328,0.0581,2.93059,-0.52638,-1.55183,-1.05578
0.3243,1.23112,-0.71229,-0.11223,-1.2074,0.1477,-2.21079,0.0581,-0.18565,-0.2584,-1.55183,-1.05578
1.1982,1.38257,0.71014,-0.86458,-2.82367,0.1477,-0.33308,0.0581,-0.18565,-1.07328,-1.55183,-1.05578
0.6156,1.38257,0.71014,0.87265,-3.40932,0.1477,0.31601,0.0581,-0.18565,-0.47169,-1.55183,-1.05578
0.3243,0.85248,0.71014,1.27208,-0.97579,0.1477,0.81441,0.0581,-0.18565,0.45804,-1.55183,-1.05578
0.3243,1.00394,-2.22361,-1.11353,-0.78685,0.1477,0.94191,0.0581,2.98341,-0.08886,-1.55183,-1.05578
0.3243,0.0952,-2.22361,-1.11353,-0.88269,0.1477,0.94191,0.0581,2.93059,-0.08886,-1.55183,-1.05578
